condition_id,collab_mode,aesthetic_regime,infrastructure_cue
C01,HumanOnly,MainstreamCanon,NoDisclosure
C02,HumanOnly,MainstreamCanon,AIDisclosed
C03,HumanOnly,SubculturalNiche,NoDisclosure
C04,HumanOnly,SubculturalNiche,AIDisclosed
C05,HumanOnly,DatasetBiased,NoDisclosure
C06,HumanOnly,DatasetBiased,AIDisclosed
C07,AIOnly,MainstreamCanon,NoDisclosure
C08,AIOnly,MainstreamCanon,AIDisclosed
C09,AIOnly,SubculturalNiche,NoDisclosure
C10,AIOnly,SubculturalNiche,AIDisclosed
C11,AIOnly,DatasetBiased,NoDisclosure
C12,AIOnly,DatasetBiased,AIDisclosed
C13,HumanAI_Collab,MainstreamCanon,NoDisclosure
C14,HumanAI_Collab,MainstreamCanon,AIDisclosed
C15,HumanAI_Collab,SubculturalNiche,NoDisclosure
C16,HumanAI_Collab,SubculturalNiche,AIDisclosed
C17,HumanAI_Collab,DatasetBiased,NoDisclosure
C18,HumanAI_Collab,DatasetBiased,AIDisclosed
