stimulus_id,rater_id,role,collab_mode,aesthetic_regime,infrastructure_cue,creativity,originality,authenticity,cultural_value,legitimacy,justification,condition_id,domain,fictional_brand_name,product_category,stimulus_text
C01_S01,R00001,Consumer,HumanOnly,MainstreamCanon,NoDisclosure,4,4,6,4,5,"It feels clear and easy to connect with. It follows familiar conventions, which helps clarity but limits surprise.",C01,AdCopy,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
C01_S01,R00002,Consumer,HumanOnly,MainstreamCanon,NoDisclosure,5,3,4,4,6,"It feels clear and easy to connect with. It follows familiar conventions, which helps clarity but limits surprise.",C01,AdCopy,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
C01_S01,R00003,Consumer,HumanOnly,MainstreamCanon,NoDisclosure,4,4,5,4,4,"It feels clear and easy to connect with. It follows familiar conventions, which helps clarity but limits surprise.",C01,AdCopy,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
C01_S01,R00004,Consumer,HumanOnly,MainstreamCanon,NoDisclosure,6,4,6,6,5,"It feels clear and easy to connect with. It follows familiar conventions, which helps clarity but limits surprise.",C01,AdCopy,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
C01_S01,R00005,ArtCritic,HumanOnly,MainstreamCanon,NoDisclosure,3,3,4,4,4,"The copy signals a particular cultural stance, though it varies in depth. It follows familiar conventions, which helps clarity but limits surprise.",C01,AdCopy,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
C01_S01,R00006,Consumer,HumanOnly,MainstreamCanon,NoDisclosure,5,4,5,6,4,"It feels clear and easy to connect with. It follows familiar conventions, which helps clarity but limits surprise.",C01,AdCopy,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
C01_S01,R00007,Consumer,HumanOnly,MainstreamCanon,NoDisclosure,6,4,5,5,6,"It feels clear and easy to connect with. It follows familiar conventions, which helps clarity but limits surprise.",C01,AdCopy,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
C01_S01,R00008,ArtCritic,HumanOnly,MainstreamCanon,NoDisclosure,3,3,5,5,6,"The copy signals a particular cultural stance, though it varies in depth. It follows familiar conventions, which helps clarity but limits surprise.",C01,AdCopy,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
C01_S01,R00009,CreativeDirector,HumanOnly,MainstreamCanon,NoDisclosure,4,4,6,3,4,"The positioning is reasonably coherent for the category. It follows familiar conventions, which helps clarity but limits surprise.",C01,AdCopy,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
C01_S01,R00010,Consumer,HumanOnly,MainstreamCanon,NoDisclosure,6,4,5,6,4,"It feels clear and easy to connect with. It follows familiar conventions, which helps clarity but limits surprise.",C01,AdCopy,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
