stimulus_id,condition_id,domain,collab_mode,aesthetic_regime,infrastructure_cue,fictional_brand_name,product_category,stimulus_text
C01_S01,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,Purami,Travel service,"Purami is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purami: Made for how you actually live."
C01_S02,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,Zenono Works,Fitness studio,"Zenono Works is designed for people who see fitness studio not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Zenono Works: Made for how you actually live."
C01_S03,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,Koralo Co,Smart home device,"Koralo Co is designed for people who see smart home device not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Koralo Co: Made for how you actually live."
C01_S04,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,Purafi Haus,DIY furniture,"Purafi Haus is designed for people who see diy furniture not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purafi Haus: Made for how you actually live."
C01_S05,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,Ariati Works,Skincare,"Ariati Works is designed for people who see skincare not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Ariati Works: Made for how you actually live."
C01_S06,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,Rivono Market,Electric scooter,"Rivono Market is designed for people who see electric scooter not as a commodity, but as a small
daily decision that shapes how they live. This campaign speaks to those who value consistency,
texture, and intention in the choices they make.  The copy is polished, broadly appealing language
with familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Rivono Market: Made for how you actually live."
C02_S01,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,Orbiti Systems,Streaming audio app,"Orbiti Systems is designed for people who see streaming audio app not as a commodity, but as a small
daily decision that shapes how they live. This campaign speaks to those who value consistency,
texture, and intention in the choices they make.  The copy is polished, broadly appealing language
with familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Orbiti Systems: Made for how you actually live."
C02_S02,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,Civira Group,Eco laundry detergent,"Civira Group is designed for people who see eco laundry detergent not as a commodity, but as a small
daily decision that shapes how they live. This campaign speaks to those who value consistency,
texture, and intention in the choices they make.  The copy is polished, broadly appealing language
with familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Civira Group: Made for how you actually live."
C02_S03,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,Purane Atelier,DIY furniture,"Purane Atelier is designed for people who see diy furniture not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Purane Atelier: Made for how you actually live."
C02_S04,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,Vitami &Co,DIY furniture,"Vitami &Co is designed for people who see diy furniture not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Vitami &Co: Made for how you actually live."
C02_S05,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,Firalo,Eco laundry detergent,"Firalo is designed for people who see eco laundry detergent not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Firalo: Made for how you actually live."
