stimulus_id,condition_id,domain,collab_mode,aesthetic_regime,infrastructure_cue,fictional_brand_name,product_category,stimulus_text
C01_S01,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,,,
C01_S02,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,,,
C01_S03,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,,,
C01_S04,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,,,
C01_S05,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,,,
C01_S06,C01,AdCopy,HumanOnly,MainstreamCanon,NoDisclosure,,,
C02_S01,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,,,
C02_S02,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,,,
C02_S03,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,,,
C02_S04,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,,,
C02_S05,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,,,
C02_S06,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,,,
C03_S01,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,,,
C03_S02,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,,,
C03_S03,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,,,
C03_S04,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,,,
C03_S05,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,,,
C03_S06,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,,,
C04_S01,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,,,
C04_S02,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,,,
C04_S03,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,,,
C04_S04,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,,,
C04_S05,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,,,
C04_S06,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,,,
C05_S01,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,,,
C05_S02,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,,,
C05_S03,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,,,
C05_S04,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,,,
C05_S05,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,,,
C05_S06,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,,,
C06_S01,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,,,
C06_S02,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,,,
C06_S03,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,,,
C06_S04,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,,,
C06_S05,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,,,
C06_S06,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,,,
C07_S01,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,,,
C07_S02,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,,,
C07_S03,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,,,
C07_S04,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,,,
C07_S05,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,,,
C07_S06,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,,,
C08_S01,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,,,
C08_S02,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,,,
